fideid,name,country,sex,title,w_title,o_title,foa_title,standart_rating,rapid_rating,blitz_rating,birthday,flag,IM,IM_year,WFM,WFM_year,WCM,WCM_year,GM,GM_year,WIM,WIM_year,FM,FM_year,CM,CM_year,WGM,WGM_year,WH,WH_year
1701991,"Aaberg, Anton",SWE,M,IM,N/A,N/A,N/A,2322,2331,0,1972,N/A,True,2013,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
1407589,"Aabling-Thomsen, Jakob",DEN,M,IM,N/A,N/A,N/A,2327,0,0,1985,N/A,True,2016,False,0,False,0,False,0,False,0,True,2009,False,0,False,0,False,0
25678191,Aaditya Dhingra,IND,M,IM,N/A,N/A,N/A,2421,2208,2268,2006,N/A,True,2023,False,0,False,0,False,0,False,0,False,0,True,2020,False,0,False,0
25778293,Aadya Gupta,IND,F,WFM,WFM,N/A,N/A,1968,1748,1888,2010,w,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0,False,0
25991426,Aadya Ranganath,IND,F,WCM,WCM,N/A,N/A,1900,1704,1747,2013,w,False,0,False,0,True,2025,False,0,False,0,False,0,False,0,False,0,False,0
1401815,"Aagaard, Jacob",DEN,M,GM,N/A,N/A,N/A,2435,2502,2509,1973,N/A,True,1997,False,0,False,0,True,2007,False,0,False,0,False,0,False,0,False,0
25014510,Aakanksha Hagawane,IND,F,WIM,WIM,N/A,N/A,2188,2062,2080,2000,w,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0,False,0
25644394,Aakash G,IND,M,FM,N/A,N/A,N/A,2196,2139,1964,2010,N/A,False,0,False,0,False,0,False,0,False,0,True,2024,True,2024,False,0,False,0
25033220,"Aakash Sharadchandra, Dalvi",IND,M,FM,N/A,N/A,N/A,2278,2157,2250,2002,N/A,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0,False,0
25922491,Aansh Nandan Nerurkar,IND,M,CM,N/A,N/A,N/A,2216,2014,2081,2012,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
33361436,Aaradhya Das,IND,F,WCM,WCM,N/A,N/A,1778,1738,1812,2014,w,False,0,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0
25162748,Aarav A,IND,M,CM,N/A,N/A,N/A,2208,1883,1957,2013,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
45059756,Aarav Dengla,IND,M,IM,N/A,N/A,N/A,2366,2136,2290,2009,N/A,True,2024,False,0,False,0,False,0,False,0,True,2022,False,0,False,0,False,0
33382859,Aarav Sarbalia,IND,M,FM,N/A,N/A,N/A,2205,1730,1716,2013,N/A,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0,False,0
25674064,Aarav Sinha,IND,M,FM,N/A,N/A,N/A,2187,1857,2081,2009,N/A,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0,False,0
1500503,"Aarland, Stein Arild",NOR,M,FM,N/A,N/A,N/A,2300,0,0,1973,i,False,0,False,0,False,0,False,0,False,0,True,2009,False,0,False,0,False,0
5000092,"Aaron, Manuel",IND,M,IM,N/A,N/A,N/A,2315,0,0,1935,i,True,1961,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
45048975,Aaryan Varshney,IND,M,IM,N/A,N/A,N/A,2395,2241,2270,2005,N/A,True,2024,False,0,False,0,False,0,False,0,True,2018,False,0,False,0,False,0
45022500,Aashman Gupta,IND,M,CM,N/A,N/A,N/A,2197,1986,1980,2008,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2023,False,0,False,0
7810776,Aayat Asmi,PAK,F,WCM,WCM,N/A,N/A,1488,1500,0,2012,w,False,0,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0
35029070,Aayush Bhattacherjee,IND,M,FM,N/A,N/A,N/A,2360,1733,2134,2007,N/A,False,0,False,0,False,0,False,0,False,0,True,2023,True,2022,False,0,False,0
3843459,"Abad Huaman, Adrian Estiven",PER,M,CM,N/A,N/A,N/A,2042,1730,1830,2010,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2024,False,0,False,0
4801628,"Abaeji, Sinan Younus Abdulrazzaq",IRQ,M,CM,N/A,N/A,N/A,1981,2079,2091,1971,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2010,False,0,False,0
13804472,"Abaeva, Aiana",KGZ,F,WCM,WCM,N/A,N/A,1909,1733,1704,2009,w,False,0,False,0,True,2024,False,0,False,0,False,0,False,0,False,0,False,0
22217975,"Abal Cores, Lucas",ESP,M,FM,N/A,NA,N/A,2336,2228,2223,1997,N/A,False,0,False,0,False,0,False,0,False,0,True,2015,False,0,False,0,False,0
3400123,"Abarca Aguirre, Manuel",CHI,M,FM,N/A,N/A,N/A,2347,0,0,1965,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
3409414,"Abarca Gonzalez, Damaris",CHI,F,WFM,WFM,N/A,N/A,1989,2008,1993,1990,w,False,0,True,2012,False,0,False,0,False,0,False,0,False,0,False,0,False,0
3409422,"Abarca Gonzalez, Nicolas",CHI,M,IM,N/A,N/A,N/A,2367,2322,2487,1993,N/A,True,2019,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
6705863,"Abarca, Camila Rene",ESA,F,WCM,WCM,"NI,NA",N/A,1804,0,1773,2003,wi,False,0,False,0,True,2018,False,0,False,0,False,0,False,0,False,0,False,0
4128184,"Abasheev, Denis",RUS,M,IM,N/A,N/A,N/A,2415,0,0,1977,i,True,1998,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0
13402960,"Abasov, Nijat",AZE,M,GM,N/A,FST,N/A,2615,2566,2555,1995,N/A,True,2009,False,0,False,0,True,2011,False,0,False,0,False,0,False,0,False,0
802778,"Abatino, Maurizio",ITA,M,FM,N/A,N/A,N/A,2151,0,0,1960,i,False,0,False,0,False,0,False,0,False,0,True,0,False,0,False,0,False,0
4804937,Abbas Hussein kzar,IRQ,M,CM,N/A,N/A,N/A,2027,2017,1956,1997,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2014,False,0,False,0
423831,"Abbas, Daniel",ENG,M,FM,N/A,N/A,N/A,2228,0,2271,1999,i,False,0,False,0,False,0,False,0,False,0,True,2016,False,0,False,0,False,0
36727890,"Abbasi Abeluie, Mohammad Mehdi",IRI,M,CM,N/A,N/A,N/A,2285,2117,2062,2013,N/A,False,0,False,0,False,0,False,0,False,0,False,0,True,2023,False,0,False,0
2008645,"Abbasi, Nasser",USA,M,FM,N/A,N/A,N/A,2305,0,0,1957,i,False,0,False,0,False,0,False,0,False,0,True,1995,False,0,False,0,False,0
12543675,"Abbasi, Parnian",IRI,F,WFM,WFM,N/A,N/A,1782,1828,0,2002,wi,False,0,True,2012,False,0,False,0,False,0,False,0,False,0,False,0,False,0
